frame,car_id,bbox,license_plate_bbox,license_plate_text,speed_kmh
50,5.0,"[2230.015493076539, 1400.758337849093, 2934.6861735213474, 2096.3259904134625]","[2485.389892578125, 1889.4407958984375, 2677.994140625, 1978.6556396484375]",,92.88842327631033
51,5.0,"[2232.363134017505, 1406.4960080127755, 2938.0997605351777, 2103.3238555772477]","[2487.904541015625, 1898.7930908203125, 2683.07177734375, 1985.6766357421875]",,75.48141703972553
51,6.0,"[1108.3160460761758, 1176.5655113312266, 1706.5506733592867, 1651.7625397457257]","[1315.2769775390625, 1456.226806640625, 1499.302734375, 1549.8658447265625]",,184.05054915915986
52,5.0,"[2233.9035464148888, 1411.649652439235, 2941.721196599005, 2110.7788979277984]","[2486.506103515625, 1898.7161865234375, 2685.307373046875, 1988.0035400390625]",,73.57163840383512
53,5.0,"[2235.081864253519, 1419.8915601072672, 2945.0828477340087, 2119.7014477062867]","[2488.59521484375, 1912.3516845703125, 2687.38916015625, 1999.06787109375]",,95.87546297446758
53,6.0,"[1106.367865963239, 1182.0724932400124, 1707.1824381279769, 1663.2287346482642]","[1323.42626953125, 1476.739013671875, 1489.650146484375, 1556.4140625]",,91.93040955664561
54,5.0,"[2235.9119749852093, 1430.852321412152, 2950.4974045948397, 2129.5297136247823]","[2487.920654296875, 1923.95263671875, 2685.99609375, 2009.1270751953125]",,117.21601846602775
54,6.0,"[1103.5162537638723, 1184.6818265071938, 1705.574081933553, 1668.0947155215272]","[1305.873046875, 1475.8157958984375, 1492.515869140625, 1566.1578369140625]",,47.00532959056563
54,4.0,"[940.9659262820724, 1650.14134751947, 1561.8624440725998, 2152.3649320737427]","[1235.4371337890625, 2077.4326171875, 1342.5986328125, 2151.405029296875]",,
55,5.0,"[2236.7504635960113, 1437.8566642267083, 2951.2690712765298, 2135.7869381441674]","[2490.76416015625, 1924.786376953125, 2691.08447265625, 2013.0380859375]",CI51WSU,72.13837509435922
55,6.0,"[1100.210044415859, 1186.8037542172744, 1704.9648394605874, 1672.1158117198822]","[1312.5869140625, 1480.4512939453125, 1492.192138671875, 1563.3314208984375]",,39.33762151262938
56,5.0,"[2238.156499422215, 1444.7028853745092, 2956.596266800349, 2141.4514086543054]","[2492.3994140625, 1936.26416015625, 2696.326904296875, 2025.958740234375]",,76.7206432757395
56,6.0,"[1093.4062394684993, 1190.2591071143788, 1703.9003774658322, 1676.907844279844]","[1313.1636962890625, 1492.3480224609375, 1483.23828125, 1567.2601318359375]",,61.55265545524741
57,5.0,"[2237.876491689036, 1449.8421943677088, 2956.00441395109, 2146.0364099478375]","[2495.671142578125, 1946.361083984375, 2695.94677734375, 2035.6539306640625]",,52.72190974951321
57,6.0,"[1089.7714294037876, 1195.1037341560705, 1703.40332950501, 1681.1450507939849]","[1303.0980224609375, 1494.547119140625, 1477.780517578125, 1571.8634033203125]",,53.878891090370296
58,5.0,"[2237.3237201439897, 1453.8209038722448, 2954.1009563676416, 2148.5178697028523]","[2492.60888671875, 1949.949951171875, 2698.216552734375, 2040.1253662109375]",,37.32132499202994
58,6.0,"[1091.420788244642, 1199.0922310929911, 1707.9506908123528, 1684.7629711512539]","[1318.248046875, 1498.404052734375, 1485.2607421875, 1570.48974609375]",GX15OGJ,52.979731244579796
59,5.0,"[2241.611318770262, 1458.015467057036, 2957.1738603732592, 2149.449233182026]","[2497.2890625, 1959.7628173828125, 2710.31005859375, 2050.332275390625]",MT51VSU,48.43535806927795
59,6.0,"[1088.369238567699, 1204.4820349839936, 1709.391832287532, 1690.8330931448593]","[1297.361328125, 1498.6197509765625, 1469.0889892578125, 1579.45458984375]",,62.49163056274412
60,5.0,"[2248.430485160378, 1464.9372745533028, 2960.1830308159283, 2150.4923474598604]","[2506.503662109375, 1969.2283935546875, 2709.966796875, 2062.3388671875]",,68.31292058332099
60,6.0,"[1085.1435110260425, 1210.8729562674512, 1709.1607448680654, 1697.6496314861097]","[1297.5545654296875, 1498.21728515625, 1443.9986572265625, 1579.54248046875]",,73.72267000390437
61,5.0,"[2248.01417040655, 1470.182912439541, 2958.3568310500596, 2150.5598828604147]","[2501.067626953125, 1971.497314453125, 2711.759033203125, 2065.9482421875]",,31.141983875936255
61,6.0,"[1079.9254359919687, 1213.7083986683392, 1704.3961577341315, 1701.6314899298513]","[1295.335205078125, 1502.5242919921875, 1445.657958984375, 1584.0955810546875]",,65.27729750685708
62,5.0,"[2245.8676544122673, 1475.9850245986265, 2958.44386963547, 2151.835683387554]","[2504.60107421875, 1982.3389892578125, 2718.28369140625, 2082.31640625]",,39.80583735814771
62,6.0,"[1074.694520818232, 1218.19312432031, 1696.7079971697476, 1706.9043645058894]","[1303.7098388671875, 1511.173828125, 1479.432861328125, 1598.18701171875]",,87.4255297312695
63,5.0,"[2248.3305944139056, 1485.3285088552357, 2960.379788117424, 2151.6863166395124]","[2510.822509765625, 1989.1636962890625, 2723.33935546875, 2090.44873046875]",,55.038095073465854
63,6.0,"[1076.8362245744197, 1225.3703857290461, 1695.171639434203, 1712.458225940164]","[1302.3218994140625, 1518.406494140625, 1475.3382568359375, 1601.370849609375]",,68.82573440241235
64,5.0,"[2252.969554545001, 1491.1633866824031, 2962.948341829759, 2150.2229630138836]","[2504.9658203125, 1995.9627685546875, 2728.052734375, 2094.121826171875]",,45.51994361301521
64,6.0,"[1077.5881000888007, 1230.3640581692173, 1696.3040923748522, 1717.0544836845868]","[1307.2127685546875, 1526.3565673828125, 1475.3118896484375, 1606.3443603515625]",GX15OGJ,52.77583706802114
65,5.0,"[2254.5507985246277, 1496.3621189933667, 2964.454214032835, 2152.627082727963]","[2510.716552734375, 2007.025634765625, 2724.924560546875, 2104.954833984375]",,44.31082368004842
66,5.0,"[2256.9576218236343, 1500.194657250142, 2967.4650307663596, 2152.5320172460406]","[2515.6259765625, 2018.50341796875, 2722.922607421875, 2113.79736328125]",,35.541488233937564
67,5.0,"[2260.3121161317104, 1503.3649142786394, 2970.899502424083, 2151.582843350162]","[2514.874755859375, 2026.53955078125, 2725.96533203125, 2124.509033203125]",,38.57251001559921
67,6.0,"[1071.1097527505144, 1239.6919213052602, 1694.1163927650928, 1728.97098487636]","[1287.4896240234375, 1541.3988037109375, 1464.8917236328125, 1622.7774658203125]",,123.89715863661542
68,5.0,"[2257.762248810485, 1509.607176647571, 2975.776557417625, 2152.550591976439]","[2517.29443359375, 2037.2091064453125, 2730.46728515625, 2132.1220703125]",,40.91192710133769
69,5.0,"[2262.741803841277, 1518.8351952843211, 2980.3663858265863, 2153.8816803959253]","[2520.684814453125, 2045.742919921875, 2738.455810546875, 2141.113037109375]",,76.95101201816367
69,6.0,"[1069.1676650796321, 1250.8610742963624, 1695.056731342972, 1744.3349033369414]","[1280.980224609375, 1546.699951171875, 1460.7117919921875, 1634.0126953125]",,143.38066555977386
70,5.0,"[2266.050145269278, 1527.157789968399, 2983.698368915183, 2154.56043589111]","[2529.471923828125, 2056.062744140625, 2734.16845703125, 2145.4892578125]",,60.40237695393441
70,6.0,"[1064.8521626964553, 1256.5886653007037, 1691.412688295662, 1752.0010212945608]","[1275.7159423828125, 1553.423583984375, 1472.5133056640625, 1644.27392578125]",,84.13362955339481
71,6.0,"[1059.6346331452348, 1260.203677402054, 1690.4898766054305, 1757.1863134566715]","[1279.7994384765625, 1551.3204345703125, 1462.4578857421875, 1644.5050048828125]",,57.946087774314314
72,6.0,"[1053.9170885945725, 1263.3546234315795, 1686.884838135319, 1762.6433257986705]","[1281.516357421875, 1575.9605712890625, 1469.378173828125, 1656.4566650390625]",,68.5199149436814
73,6.0,"[1050.4662875465037, 1266.5524299677734, 1683.7915143929272, 1767.2140793318242]","[1282.30078125, 1573.891845703125, 1465.5877685546875, 1657.3048095703125]",,54.8508425192643
